iter	Logloss
0	0.6367912957
1	0.5938651983
2	0.5612728396
3	0.5370284315
4	0.5194148308
5	0.5041430904
6	0.4908347948
7	0.478786894
8	0.4687805002
9	0.4607715754
10	0.4533537897
11	0.4472232681
12	0.4423043279
13	0.437358801
14	0.433173183
15	0.4307220718
16	0.4278345356
17	0.4243144528
18	0.4215217322
19	0.420362178
20	0.4188020682
21	0.4176138258
22	0.4161817218
23	0.4148558964
24	0.4129867118
25	0.411350453
26	0.4101679285
27	0.4092782556
28	0.4084019725
29	0.4070673277
30	0.4070562636
31	0.4061024097
32	0.4056728033
33	0.4042121112
34	0.4037426096
35	0.40300744
36	0.4024800369
37	0.401580765
38	0.4008955978
39	0.3996953756
40	0.3989304015
41	0.3985137881
42	0.3981417262
43	0.3975981843
44	0.3975739278
45	0.3974249696
46	0.3960968111
47	0.394822233
48	0.393958403
49	0.3938233933
