iter	Passed	Remaining
0	13	658
1	22	536
2	36	570
3	42	490
4	54	486
5	57	422
6	68	420
7	74	392
8	87	396
9	92	369
10	103	368
11	114	361
12	125	358
13	134	346
14	140	327
15	142	302
16	151	294
17	157	280
18	165	269
19	167	251
20	170	234
21	177	225
22	182	214
23	188	204
24	197	197
25	206	190
26	214	183
27	221	174
28	228	165
29	234	156
30	235	144
31	240	135
32	242	125
33	250	117
34	255	109
35	266	103
36	272	95
37	280	88
38	286	80
39	293	73
40	299	65
41	306	58
42	314	51
43	320	43
44	323	35
45	330	28
46	335	21
47	341	14
48	347	7
49	353	0
